章节ID|知识点名称|知识概要|重难点|公式|例题|排序
768|有理数的引入|正数、负数和零的概念|理解负数的意义和有理数的分类|正整数、负整数、零统称为整数;正分数、负分数统称为分数|下列哪些是有理数: -3, 0.5, 0, π|1
768|数轴|规定了原点、正方向和单位长度的直线|理解数轴上点与有理数的对应关系|数轴三要素: 原点、正方向、单位长度|在数轴上表示-2和3,求它们之间的距离|2
768|相反数|只有符号不同的两个数互为相反数|理解相反数的几何意义(关于原点对称)|a的相反数是-a; 0的相反数是0|若a=-5,则-a=5; 若a+b=0,则a与b互为相反数|3
768|绝对值|数轴上一个数对应的点到原点的距离|理解绝对值的非负性和去绝对值符号|正数的绝对值是本身; 负数的绝对值是相反数; abs(0)=0|若abs(x)=3,则x=3或x=-3|4
768|有理数的大小比较|利用数轴和绝对值比较有理数大小|掌握负数比大小的规则|负数<0<正数; 两个负数比绝对值,绝对值大的反而小|比较: -3和-5; -3>-5因为abs(-3)<abs(-5)|5
768|有理数的加法|同号相加和异号相加的法则|掌握异号有理数相加的符号判断|同号取相同符号,绝对值相加; 异号取绝对值大的符号,绝对值相减|(-3)+(-5)=-8; (-3)+5=2|6
768|有理数的减法|减去一个数等于加上它的相反数|转化思想: 减法转化为加法|a-b = a+(-b)|3-(-5) = 3+5 = 8; (-2)-7 = (-2)+(-7) = -9|7
768|有理数的乘法|两数相乘的符号法则|多个有理数相乘时符号的判断|同号得正,异号得负; 任何数与0相乘得0|(-3)×(-4)=12; (-2)×3×(-1)=6|8
768|有理数的除法|除以一个数等于乘以它的倒数|理解倒数的概念和有理数除法法则|a÷b = a×(1/b), b≠0; 同号得正,异号得负|(-12)÷(-3) = 4; 12÷(-3) = -4|9
768|有理数的乘方|求n个相同因数积的运算|区分(-2)^2和-2^2的区别|a^n表示n个a相乘; 负数的偶次幂为正,奇次幂为负|(-2)^2=4; -2^2=-4; (-1)^100=1|10
